点时间,批号,滤波距离,滤波方位,滤波俯仰,全速度,X向速度,Y向速度,Z向速度,航向
12:32:46.486508,1,285,-22.055054,17.698975,0,0,0,0,0
12:32:49.588527,1,330.092005,-21.944585,16.190249,15.15406,-5.484486,14.086128,1.070956,-21.273634
12:32:52.695230,1,375.591598,-22.033334,16.104884,14.824693,-5.584957,13.166347,3.902191,-22.985894
12:32:55.801932,1,420.729107,-21.831704,15.108837,14.843548,-4.848299,13.859812,2.174971,-19.280341
12:32:58.908622,1,465.714066,-21.905325,14.845112,14.690721,-5.632492,13.231539,3.003114,-23.058816
12:33:02.015311,1,515.709549,-21.77556,14.339203,15.528335,-5.31442,14.347317,2.65342,-20.325241
12:33:05.122005,1,548.821141,-21.697465,13.846848,10.275396,-3.541781,9.577002,1.149167,-20.295474
12:33:08.233394,1,562.118359,-21.880718,14.23094,5.858994,-2.753918,4.782384,1.967879,-29.935328
12:33:11.340081,1,569.731037,-21.202727,14.219017,4.633435,0.314972,4.538256,0.87963,3.970175
12:33:14.539833,1,586.582674,-19.519446,13.642413,8.139139,2.705499,7.673944,-0.190863,19.420437
12:33:17.718173,1,619.423979,-17.574691,12.771074,11.978788,2.841814,11.630614,-0.37983,13.730574
12:33:20.917967,1,663.202408,-15.479304,11.700992,14.962718,3.238819,14.588182,-0.760214,12.517581
12:33:24.024660,1,704.507601,-13.823238,11.781769,14.425806,2.422229,14.109859,1.774418,9.740976
12:33:27.208263,1,744.263299,-12.136495,10.863491,14.736056,3.602943,14.28743,-0.198697,14.15351
12:33:30.314972,1,786.874534,-10.657349,10.767681,14.740608,3.275123,14.3164,1.264821,12.885663
12:33:33.503204,1,832.024194,-9.456969,10.464826,14.94054,2.800323,14.615947,1.323647,10.846072
12:33:36.609912,1,871.930376,-8.413831,9.86049,14.46795,2.939894,14.164502,0.213207,11.725469
12:33:39.793535,1,915.047177,-7.157902,9.49208,14.907738,3.90598,14.384277,0.276673,15.192056
12:33:42.895630,1,959.601498,-6.18797,8.635874,15.284677,3.716529,14.783904,-1.115776,14.111186
12:33:46.079240,1,1002.856944,-5.248146,8.010596,15.245759,3.604049,14.764877,-1.201004,13.717432
12:33:49.185935,1,1049.891206,-4.398371,7.802466,15.287562,3.422646,14.899273,-0.082059,12.937473
